Name,State
VIJAYA KRANTHI DEGREE COLLEGE,Andhra Pradesh
A.N.R. COLLEGE,Andhra Pradesh
"ALNM Degree College for Women, Kanigiri, Prakasam District,523230",Andhra Pradesh
S.K.S.D. MAHILA KALASALA UG AND PG (AUTONOMOUS),Andhra Pradesh
"Sree Sai Dental College & Research Inst., Srikakulam",Andhra Pradesh
"S.K. College of Nursing, Kakinada",Andhra Pradesh
S.K.V.R.R. DEGREE COLLEGE,Andhra Pradesh
SKVT Government Degree College,Andhra Pradesh
S.M.B.T.A.V. & S.N. DEGREE COLLEGE,Andhra Pradesh
"Yeswanth College of Education, Bestavaripeta",Andhra Pradesh
"Sri Prathibha Degree College, Kandukur",Andhra Pradesh
"SRI VIVEKA DEGREE COLLEGE, KANDUKUAR",Andhra Pradesh
Smt.Alluru Varahalamma Memorial Degree College,Andhra Pradesh
Aditya Degree College,Andhra Pradesh
"Aditya Degree College Tuni, East Godavari",Andhra Pradesh
Smt.B.S.R.Degree College,Andhra Pradesh
"Smt.B.S.R.Degree College, Gokavaram",Andhra Pradesh
Smt. GOTTUMUKKALA SARASWATHI DEGREE COLLEGE,Andhra Pradesh
V.K.V.Govt.Degree College,Andhra Pradesh
V.S.K. DEGREE COLLEGE,Andhra Pradesh
Navyandhra Degree College,Andhra Pradesh
S.D. College of Information Technology,Andhra Pradesh
"Sri Krishna Devaraya B.Ed College, Darsi, Prakasam District",Andhra Pradesh
"SANSKRITHI SCHOOL OF ENGINEERING, PUTTAPARTHI",Andhra Pradesh
"Sai Ram Degree College, Mudinepalli, Krishna District",Andhra Pradesh
Sri Pathanjali Maharshi Naturopathy and Yoga Medical College Guntakal,Andhra Pradesh
Seven Hills College of Education,Andhra Pradesh
Kasturibai College of Education,Andhra Pradesh
Vellanki College of Education,Andhra Pradesh
NALANDA DEGREE COLLEGE,Andhra Pradesh
"GOVERNMENT DEGREE COLLEGE, Nakkapalli",Andhra Pradesh
"MANUU POLYTECHNIC, KADAPA",Andhra Pradesh
Sri Palakondraya Swamy Degree College,Andhra Pradesh
AKULA SREERAMULU COLLEGE OF EDUCATION TANUKU.,Andhra Pradesh
K.V.R. COLLEGE,Andhra Pradesh
"SRI NIKHILA DEGREE COLLEGE, CHILAKALURIPET, GUNTUR DISTRICT, 522616",Andhra Pradesh
SATYA COLLEGE OF EDUCATION,Andhra Pradesh
SAV & NVJR DEGREE COLLEGE,Andhra Pradesh
VIDYANJALI DEGREE COLLEGE,Andhra Pradesh
"SREE VENKATESWARA DEGREE COLLEGE, B. MATTAM",Andhra Pradesh
S.P.K.R COLLEGE OF EDUCATION,Andhra Pradesh
"GOVERNMENT DEGREE COLLEGE,RAMACHANDRAPURAM",Andhra Pradesh
V.S.M.College,Andhra Pradesh
V.S.R.Rural Degree College,Andhra Pradesh
V.V. GIRI GOVT. KALASALA,Andhra Pradesh
Vidyanidhi Degree College,Andhra Pradesh
Sanjeev College of Arts and Science,Andhra Pradesh
St. MARYS NIRMALA HRUDAYA MAHILA COLLEGE,Andhra Pradesh
Suryaraya Degree College,Andhra Pradesh
"S.S.S. Government Degree College, Bukkapatnam",Andhra Pradesh
"S.V. Arts & Science College, Giddaluru",Andhra Pradesh
"Jyothirmayee Degree College for Women, Kalyandurg",Andhra Pradesh
"Raghavendra Institute of Arts & Sciences, Krishnamareddy Palli",Andhra Pradesh
"S.V. Degree Colelge, Bhimadole(V&M), W.G.Dist.",Andhra Pradesh
S.V.D. GOVT. DEGREE COLLEGE FOR WOMEN,Andhra Pradesh
S.V.J.V. SANSKRIT COLLEGE,Andhra Pradesh
"VIGNAN DEGREE COLLEGE, VISANNAPETA",Andhra Pradesh
SARADA COLLEGE,Andhra Pradesh
DR G VENKATA SUBBAIAH MEMORIAL COLLEGE OF HEALTH SCIENCES KADAPA,Andhra Pradesh
"Padma Chandra College of Nursing, Kurnool",Andhra Pradesh
SRI VENKATESWARA COLLEGE OF NURSING CK PALEM ROAD ONGOLE PRAKASAM DISTRICT,Andhra Pradesh
NIMRA INSTITUTE OF MEDICAL SCIENCES (NIMS),Andhra Pradesh
"Monteesori College of Physiotheraphy, Vijayawada",Andhra Pradesh
SRI KAKATIYA DEGREE KALASALA,Andhra Pradesh
"K.K.C. College of B.Sc Nursing, Puttur",Andhra Pradesh
INSTITUTE OF ADVANCED STUDIES IN EDUCATION IASE,Andhra Pradesh
"Sri Venkateswara Government Degree College, Parvathipuram Manyam District",Andhra Pradesh
"Sri Vignan Nursing Academy College, Kadiri",Andhra Pradesh
CHEGONDI  POLYTECHNIC OF AGRICULTURE,Andhra Pradesh
"Sreedevi Degree College, Borampalli, Kalyandurg",Andhra Pradesh
DR G VENKATA SUBBAIAH COLLEGE OF PHYSIOTHERAPY KADAPA,Andhra Pradesh
"Sri Sathya Sai Degree College, Penukonda",Andhra Pradesh
"Sri Venkateswara Degree College, Guntakal",Andhra Pradesh
"Government College (A), Anantapur",Andhra Pradesh
"S.D.G.S. Degree College (Aided), Hindupur",Andhra Pradesh
"VIGNAN DEGREE COLLEGE, KADAPA",Andhra Pradesh
"SGTRM Govt. Degree College, Yerraguntla",Andhra Pradesh
TANVI COLLEGE OF PHYSIOTHERAPY,Andhra Pradesh
"C.N.R.DEGREE COLLEGE,GUDIPALA",Andhra Pradesh
Sri Venkateswara College of Arts & Science,Andhra Pradesh
Sri Venkatasai Degree College,Andhra Pradesh
Sri Varupala Surya Rao Degree College,Andhra Pradesh
SRI SURYA DEGREE COLLEGE,Andhra Pradesh
SRI SRINIVASA DEGREE COLLEGE,Andhra Pradesh
"Sri Sai Madhavi Degree College, Anaparthi",Andhra Pradesh
 ASHOKA COLLEGE OF EDUCATION,Andhra Pradesh
"Sri Sai Srinivasa Degree College, Kotarubilli Jn.",Andhra Pradesh
S V COLLEGE OF ENGINEERING    ,Andhra Pradesh
"Mohammed Arhan B.Ed College, Darsi, Prakasam District",Andhra Pradesh
"ADITYA DEGREE COLLEGE, Gudivada",Andhra Pradesh
"Sri Lakshmi Sravani College of Education,Medarametla Village, Korisepadu Taluk, Prakasham District",Andhra Pradesh
Sri Vagdevi Degree College Phirangipuram,Andhra Pradesh
"M.A.M College of Education, Kesanupalli, Narasaraopeta",Andhra Pradesh
"RISE Krishna Sai Prakasam Group of Institutions (Integrated Campus), Off NH-5, Valluru, Ongole-523272(CC-8A)",Andhra Pradesh
"Aditya Degree and PG College, lakshminarayana Nagar, Kakinada",Andhra Pradesh
T.S.R  & E.R.R.GOVT. DEGREE COLLEGE,Andhra Pradesh
"Tirumala Engineering College, Jonnalagadda(Post), Narasaraopet, PIN-522601(CC-NE)",Andhra Pradesh
"Dr. K.S.P.R College of Education, Kesanupalli, Narasaraopeta",Andhra Pradesh
SRI VIDYA DEGREE COLLEGE,Andhra Pradesh
"Anitha Venkateswara College of Eduation, Tenali",Andhra Pradesh
"ADITYA DEGREE COLLEGE, MUNAGAPAKA, ANAKAPALLI",Andhra Pradesh
KVSR SIDDHARTHA COLLEGE OF PHARMACEUTICAL SCIENCES,Andhra Pradesh
